x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89644.119504,43119.831688,6.29574,0,0,0.982839,0.184466,11
89643.261433,43120.028684,6.292691,0,0,0.982839,0.184466,11
89642.50142,43120.249393,6.290963,0,0,0.980115,0.198432,11
89641.75694,43120.441381,6.290741,0,0,0.980115,0.198432,11
89640.956614,43120.701044,6.285839,0,0,0.980115,0.198432,11
89640.111882,43120.987097,6.27882,0,0,0.9622,0.272343,11
89639.38929,43121.214217,6.272801,0,0,0.9622,0.272343,11
89638.680257,43121.463061,6.270518,0,0,0.9622,0.272343,11
89637.925274,43121.807466,6.267734,0,0,0.9622,0.272343,11
89637.201148,43122.158882,6.260398,0,0,0.965606,0.260011,11
89636.411401,43122.535662,6.254236,0,0,0.965606,0.260011,11
89635.715734,43122.901001,6.247664,0,0,0.965606,0.260011,11
89635.004051,43123.275103,6.24607,0,0,0.922506,0.385984,11
89634.325672,43123.710943,6.24308,0,0,0.922506,0.385984,11
89633.669674,43124.179856,6.238992,0,0,0.922506,0.385984,11
89633.115398,43124.638226,6.232143,0,0,0.922506,0.385984,11
89632.543909,43125.156624,6.225709,0,0,0.880755,0.473572,11
89632.025681,43125.733839,6.215718,0,0,0.880755,0.473572,11
89631.557953,43126.349784,6.211661,0,0,0.880755,0.473572,11
89631.193445,43126.925622,6.214511,0,0,0.880755,0.473572,11
89630.800973,43127.535501,6.216556,0,0,0.880755,0.473572,11
89630.330339,43128.281496,6.217773,0,0,0.880755,0.473572,11
89629.859002,43129.01691,6.219908,0,0,0.880755,0.473572,11
89629.357199,43129.827534,6.221643,0,0,0.880755,0.473572,11
89628.79081,43130.659991,6.224012,0,0,0.880755,0.473572,11
89628.241085,43131.50095,6.226576,0,0,0.887679,0.460463,11
89627.716801,43132.335859,6.228544,0,0,0.887679,0.460463,11
89627.158796,43133.265206,6.229225,0,0,0.887679,0.460463,11
89626.541126,43134.154504,6.228196,0,0,0.886576,0.462583,11
89625.871238,43135.156742,6.227369,0,0,0.886576,0.462583,11
89625.314318,43136.089394,6.226951,0,0,0.886576,0.462583,11
89624.653407,43137.051774,6.226287,0,0,0.886618,0.462503,11
89624.009795,43138.149322,6.22777,0,0,0.886618,0.462503,11
89623.443743,43139.182775,6.227772,0,0,0.886023,0.463642,11
89622.772992,43140.231556,6.227376,0,0,0.886023,0.463642,11
89622.113885,43141.287902,6.224844,0,0,0.886023,0.463642,11
89621.402349,43142.457259,6.221519,0,0,0.88584,0.46399,11
89620.760345,43143.51684,6.220518,0,0,0.88584,0.46399,11
89620.099767,43144.665167,6.221574,0,0,0.884065,0.467363,11
89619.511715,43145.723918,6.229384,0,0,0.884065,0.467363,11
89618.862004,43146.905422,6.231474,0,0,0.881734,0.471747,11
89618.264972,43147.920685,6.234043,0,0,0.881734,0.471747,11
89617.683542,43148.987698,6.235589,0,0,0.881734,0.471747,11
89617.075176,43150.031246,6.23613,0,0,0.874733,0.484605,11
89616.46139,43151.088215,6.236648,0,0,0.874733,0.484605,11
89615.886514,43152.102363,6.236979,0,0,0.852035,0.523484,10.6466590922535
89615.341996,43153.061629,6.238507,0,0,0.852035,0.523484,10.223847223919
89614.761915,43154.120412,6.240212,0,0,0.852035,0.523484,9.74006385166433
89614.154441,43155.263097,6.241638,0,0,0.798825,0.601564,9.19325088872314
89613.520804,43156.349545,6.241635,0,0,0.798825,0.601564,8.62867802109641
89612.880843,43157.411873,6.242261,0,0,0.702854,0.711334,8.03321237707632
89612.346559,43158.451164,6.249719,0,0,0.702854,0.711334,7.42858268433534
89611.892346,43159.594999,6.258819,0,0,0.702854,0.711334,6.73335673526514
89611.733848,43160.641974,6.274008,0,0,0.568884,0.822418,6.3957069896017
89611.682364,43161.675223,6.292447,0,0,0.568884,0.822418,5.71216430302078
89611.807611,43162.661469,6.306239,0,0,0.568884,0.822418,4.96744251975818
89612.304333,43163.572763,6.320035,0,0,0.332024,0.943271,5.55902415840188
89612.870488,43164.370774,6.32812,0,0,0.332024,0.943271,6.06410873548889
89613.499265,43165.058293,6.333432,0,0,0.332024,0.943271,5.97300812417578
89614.301823,43165.595736,6.341384,0,0,0.332024,0.943271,6.43988886766476
89615.074503,43166.049118,6.347466,0,0,0.095761,0.995404,6.83116047236917
89615.848016,43166.485805,6.351183,0,0,0.095761,0.995404,6.28956429715641
89616.587333,43166.829364,6.351783,0,0,0.095761,0.995404,5.7477533738517
89617.411002,43167.117426,6.348408,0,0,-0.171466,0.98519,5.10450413502999
89618.215132,43167.154187,6.343205,0,0,-0.171466,0.98519,5.55749776856322
89619.040124,43167.117871,6.339866,0,0,-0.171466,0.98519,5.27598585993723
89619.722316,43166.911804,6.336477,0,0,-0.171466,0.98519,5.50026749738844
89620.420986,43166.512177,6.336194,0,0,-0.171466,0.98519,5.92302782986975
89620.947719,43166.118654,6.334313,0,0,-0.372298,0.928113,6.09054965633211
89621.443118,43165.599678,6.331807,0,0,-0.372298,0.928113,5.63596781767786
89621.791725,43165.053971,6.332482,0,0,-0.372298,0.928113,5.97071539753882
89622.119152,43164.40583,6.335155,0,0,-0.372298,0.928113,6.32505715655579
89622.386456,43163.824584,6.336093,0,0,-0.433472,0.901167,6.62155070556474
89622.574709,43163.278729,6.337169,0,0,-0.433472,0.901167,6.8781803922086
89622.81789,43162.684614,6.33815,0,0,-0.433472,0.901167,7.15269959129222
89623.171566,43161.978723,6.33868,0,0,-0.433472,0.901167,7.47651884132367
89623.538927,43161.205697,6.339235,0,0,-0.50772,0.861522,7.81239966272451
89623.95213,43160.347266,6.339106,0,0,-0.50772,0.861522,8.17005499377514
89624.489277,43159.333046,6.337289,0,0,-0.50772,0.861522,8.58113499975577
89625.135829,43158.124774,6.335868,0,0,-0.535709,0.844403,9.04755096129293
89625.892954,43156.90227,6.333185,0,0,-0.535709,0.844403,9.51241248323211
89626.733426,43155.546628,6.332183,0,0,-0.557544,0.830147,10.0028117139688
89627.682805,43154.214815,6.331707,0,0,-0.557544,0.830147,10.4818692773492
89628.736601,43152.623166,6.330915,0,0,-0.569087,0.822278,11
89629.747401,43151.055649,6.326934,0,0,-0.477121,0.878837,11
89630.811605,43149.499145,6.326371,0,0,-0.477121,0.878837,11
89631.880219,43147.95146,6.324887,0,0,-0.5511,0.834439,11
89632.897446,43146.512449,6.320166,0,0,-0.518683,0.854967,10.9205777611981
89633.89849,43145.01143,6.314585,0,0,-0.518683,0.854967,10.2384274965607
89634.867095,43143.542484,6.310966,0,0,-0.49334,0.869836,9.52622900151442
89635.824868,43142.05761,6.308286,0,0,-0.49334,0.869836,8.75290157198618
89636.838293,43140.57651,6.307574,0,0,-0.352614,0.935769,7.89026405590882
89637.745637,43139.198435,6.30561,0,0,-0.23237,0.972628,7.00404147339267
89638.802482,43137.967575,6.302275,0,0,-0.23237,0.972628,6.00649637613629
