x,y,z,x_quat,y_quat,z_quat,w_quat,
89669.8263482649,43133.249359249,0,0,0,-0.864177504757562,0.503187082774383,1.5
89669.2971980287,43132.3170469282,0,0,0,-0.861707341361727,0.507405614714011,1.5
89668.7680477926,43131.3847346073,0,0,0,-0.859216525354446,0.51161212119909,1.5
89668.2388975564,43130.4524222865,0,0,0,-0.856705235312314,0.515806300648288,1.5
89667.7853402111,43129.5957028565,0,0,0,-0.863310395664086,0.504673320810917,1.5
89667.3317828659,43128.7389834265,0,0,0,-0.869770889898612,0.493455772167047,1.5
89666.8782255206,43127.8822639965,0,0,0,-0.876085635421935,0.482155534456822,1.5
89666.399470545,43127.1263350877,0,0,0,-0.873523986222944,0.486781106343681,1.5
89665.9207155694,43126.3704061789,0,0,0,-0.870937842427894,0.491393197579133,1.5
89665.4419605938,43125.6144772701,0,0,0,-0.868327420949747,0.495991421323757,1.5
89664.8624150971,43124.6317696887,0,0,0,-0.907522093282509,0.420004345458631,1.5
89664.2828696003,43123.6490621072,0,0,0,-0.940082544938367,0.340946929451204,1.5
89663.7033241036,43122.6663545258,0,0,0,-0.965770750613889,0.25939710341229,1.5
89662.7458141524,43122.1120066594,0,0,0,-0.963505222621556,0.267689532819247,1.5
89661.7883042013,43121.5576587929,0,0,0,-0.961168319153656,0.275962791432715,1.5
89660.8307942501,43121.0033109265,0,0,0,-0.958760558299818,0.28421504507788,1.5
89659.8228890384,43120.3481725389,0,0,0,-0.962892198663788,0.269886297822649,1.5
89658.8149838266,43119.6930341512,0,0,0,-0.96680970773864,0.2554975323214,1.5
89657.8070786149,43119.0378957636,0,0,0,-0.97051221433519,0.241051948397447,1.5
89656.5219994699,43118.3575597457,0,0,0,-0.991526529023091,0.129904358061694,1.5
89655.236920325,43117.6772237277,0,0,0,-0.999853876802799,0.0170945910279734,1.5
89653.95184118,43116.9968877098,0,0,0,0.995387706026302,0.0959339079350833,1.5
89652.8396533313,43117.2132795766,0,0,0,0.993033094674967,0.117835787773737,1.66666666666667
89651.7274654827,43117.4296714433,0,0,0,0.990196627385551,0.139680489383024,1.83333333333333
89650.615277634,43117.6460633101,0,0,0,0.986879680515611,0.161457412915623,2
89650.447084,43117.525296,6.320006,0,0,0.98688,0.161457,11
89649.884865,43117.61182,6.326568,0,0,0.98688,0.161457,11
89649.299098,43117.719319,6.328613,0,0,0.98688,0.161457,11
89648.817983,43117.852939,6.325881,0,0,0.98688,0.161457,11
89648.260354,43118.027375,6.322727,0,0,0.982839,0.184466,11
89647.76316,43118.274198,6.317825,0,0,0.982839,0.184466,11
89647.23605,43118.409127,6.314795,0,0,0.982839,0.184466,11
89646.689516,43118.563101,6.312971,0,0,0.982839,0.184466,11
89646.144855,43118.812955,6.309845,0,0,0.982839,0.184466,11
89645.561077,43119.057898,6.30732,0,0,0.982839,0.184466,11
89645.006434,43119.262626,6.303775,0,0,0.982839,0.184466,11
89644.440032,43119.501728,6.29947,0,0,0.982839,0.184466,11
89643.820994,43119.723051,6.294687,0,0,0.982839,0.184466,11
89643.210591,43119.922179,6.292009,0,0,0.982839,0.184466,11
89642.595311,43120.077941,6.289997,0,0,0.980115,0.198432,11
89641.945646,43120.316224,6.289413,0,0,0.980115,0.198432,11
89641.298118,43120.524874,6.289065,0,0,0.980115,0.198432,11
89640.717974,43120.809767,6.283202,0,0,0.980115,0.198432,11
89640.002158,43121.079953,6.277245,0,0,0.9622,0.272343,11
89639.196194,43121.386727,6.272769,0,0,0.9622,0.272343,11
89638.41386,43121.676503,6.271485,0,0,0.9622,0.272343,11
89637.74138,43122.040279,6.26796,0,0,0.9622,0.272343,11
89637.118059,43122.48884,6.260997,0,0,0.965606,0.260011,11
89636.41544,43122.980835,6.255696,0,0,0.965606,0.260011,11
89635.737172,43123.407452,6.248989,0,0,0.965606,0.260011,11
89635.062374,43123.972066,6.246406,0,0,0.922506,0.385984,11
89634.321441,43124.479098,6.242169,0,0,0.922506,0.385984,11
89633.625465,43125.018017,6.236418,0,0,0.922506,0.385984,11
89632.911612,43125.484577,6.226774,0,0,0.880755,0.473572,11
89632.23513,43126.138878,6.218702,0,0,0.880755,0.473572,11
89631.55968,43126.716637,6.212261,0,0,0.880755,0.473572,11
89631.078029,43127.297078,6.214142,0,0,0.880755,0.473572,11
89630.553337,43127.907414,6.217179,0,0,0.880755,0.473572,11
89630.04449,43128.54882,6.218866,0,0,0.880755,0.473572,11
89629.645519,43129.130161,6.220436,0,0,0.880755,0.473572,11
89629.167967,43129.763927,6.221709,0,0,0.880755,0.473572,11
89628.792272,43130.39689,6.223483,0,0,0.880755,0.473572,11
89628.345904,43130.992309,6.224681,0,0,0.887679,0.460463,11
89628.041826,43131.562142,6.227342,0,0,0.887679,0.460463,11
89627.60469,43132.323704,6.228284,0,0,0.887679,0.460463,11
89627.182116,43133.013274,6.229505,0,0,0.887679,0.460463,11
89626.756056,43133.747454,6.228844,0,0,0.887679,0.460463,11
89626.270936,43134.598858,6.227806,0,0,0.886576,0.462583,11
89625.746793,43135.463415,6.227286,0,0,0.886576,0.462583,11
89625.270653,43136.407482,6.22718,0,0,0.886576,0.462583,11
89624.748896,43137.272928,6.226642,0,0,0.886618,0.462503,11
89624.163782,43138.238414,6.228239,0,0,0.886618,0.462503,11
89623.581741,43139.217765,6.228117,0,0,0.886023,0.463642,11
89622.965259,43140.175514,6.227907,0,0,0.886023,0.463642,11
89622.406789,43141.062057,6.226244,0,0,0.886023,0.463642,11
89621.801725,43142.02822,6.222825,0,0,0.88584,0.46399,11
