s_m,x,y,z,x_quat,y_quat,z_quat,w_quat,target_velocity,heading_rad,curvature_1pm,turn_radius_m,v_limit_mps,v_kappa_mps,v_ref_mps,v_ref_kmh,t_ref_s
0.0,89633.172892,43127.66177,0,0,0,0.890873539370615,0.454251402693788,11.0,-0.0725540285391556,-0.6094878876389218,1.6407216948541377,10.0,,10.0,36.0,0.0
0.04774408593232716,89633.224652,43127.658008,0,0,0,0.887678675528812,0.460463428527623,11.0,-0.104020756714361,-0.6180865821297404,1.6178963092101124,10.0,,10.0,36.0,0.005189653402896947
0.07992708554457889,89633.259692,43127.653604,0,0,0,0.886575841355123,0.462583265505203,11.0,-0.12788924968852824,-0.6230024685072889,1.605130076604665,10.0,,10.0,36.0,0.008721220783208592
0.4744397440837925,89633.26113,43127.638117,0,0,0,0.886022717946053,0.463641826503486,11.0,1.0494248901069274,4.656781571719403,0.2147405852301495,10.0,,10.0,36.0,0.010276582518890312
1.2827036803789573,89634.0,43129.0,0,0,0,0.885840474432586,0.463989928615968,11.0,1.354359898823482,0.6210157474733434,1.6102651246262063,10.0,,10.0,36.0,0.16521702858073828
1.8757122938734907,89633.8165,43129.241195,0,0,0,0.881733897554199,0.471747107997369,10.271,2.229177389472841,1.3313954125480876,0.7510916671149953,10.0,,10.0,36.0,0.1955233444284007
2.3576228513973323,89633.587368,43129.534798,0,0,0,0.874732935399425,0.484605294778652,10.271,2.238758191667703,0.022546173295613883,44.353424720395424,10.0,,10.0,36.0,0.23276635652939617
3.3072436140865293,89633.036486,43130.220729,0,0,0,0.852035263186978,0.523484393545688,10.271,2.2584010442723486,0.02162311260236456,46.24681091891676,10.0,,10.0,36.0,0.3207420528710829
4.945083167828777,89631.956571,43131.490368,0,0,0,0.798824914890966,0.601563592107635,10.271,2.298781510842901,0.019546434852879456,51.160224743116586,10.0,,10.0,36.0,0.4874213736499484
7.291778211413833,89630.341463,43133.183358,0,0,0,0.70285399554554,0.711334141557728,10.271,2.332659746457274,0.0035226651163461917,283.87597656095915,10.0,,10.0,36.0,0.72140404377252
10.292343754595528,89628.241706,43135.38433,0,0,0,0.568884395238338,0.822417500333201,10.271,2.301242365191888,-0.015400463087442732,64.93311235656171,10.0,,10.0,36.0,1.0255957136756009
13.890541852810015,89625.955509,43138.14266,0,0,0,0.332024351633184,0.943270814730618,10.271,2.22349941279671,-0.013540190087209044,73.85420688773534,10.0,,10.0,36.0,1.3838565280506117
18.05403124426853,89623.559381,43141.587883,0,0,0,0.0957611796389798,0.995404338183309,10.271,2.2065476157581254,-0.0004923619254073668,2031.0262601492334,10.0,,10.0,36.0,1.803511039668993
22.6254424234685,89620.662272,43145.274697,0,0,0,-0.171465985808617,0.985190040403718,10.271,2.2219553596432697,-0.0019484886277565732,513.2182891677267,10.0,,10.0,36.0,2.272401624224369
27.36425601964465,89617.863694,43149.070772,0,0,0,-0.372298136465108,0.928113192226362,10.271,2.186449567878908,-0.020231617684077614,49.42758486322155,10.0,,10.0,36.0,2.744018250603321
32.039005894405335,89615.144448,43153.070903,0,0,0,-0.433471614616333,0.901167220510105,10.271,2.0267240199386984,-0.04474146938107797,22.35062937881337,10.0,,10.0,36.0,3.2277056168394678
36.52733016542864,89613.788327,43157.260516,0,0,0,-0.507720281680077,0.861521976255222,11.0,1.7884011795754826,-0.07545648564321217,13.25267127770026,10.0,,10.0,36.0,3.6680682089887204
40.64179374581496,89613.178033,43161.654122,0,0,0,-0.535708698832053,0.84440286001154,11.0,1.3339560100822476,-0.14912528417435203,6.7057709598785085,10.0,,10.0,36.0,4.111647203640752
44.29782113738141,89615.249782,43164.771926,0,0,0,-0.557544101049664,0.830147321494638,11.0,0.6356746369987126,-0.1707206560561117,5.857522007596576,10.0,,10.0,36.0,4.48598456086556
47.70633602268772,89618.687143,43165.926867,0,0,0,-0.569086621168504,0.822277579414042,11.0,0.06511947304336575,-0.16415267233201797,6.0918898595655095,10.0,,10.0,36.0,4.848604738983522
50.83319008893627,89621.886676,43165.352203,0,0,0,-0.477121357666065,0.878837419582764,11.0,-0.5742403525824548,-0.18939262736151022,5.280036577618266,10.0,,10.0,36.0,5.173677809706586
53.80928999966521,89623.657978,43162.851611,0,0,0,-0.551099706575186,0.834439400683323,10.271,-1.0561358483690222,-0.09433024586216797,10.601053679656097,10.0,,10.0,36.0,5.480116565834416
56.97656583561883,89624.83329,43160.057741,0,0,0,-0.518682829385151,0.854966737657679,10.271,-1.158890454261856,-0.013149769950044873,76.04695776419933,10.0,,10.0,36.0,5.783218328848638
60.56421504191887,89626.315067,43156.799277,0,0,0,-0.493340113719288,0.869836497392148,10.271,-1.1245921968330341,0.010396289721580363,96.18816200593416,10.0,,10.0,36.0,6.141174341747433
64.72179036372623,89628.195219,43153.085244,0,0,0,-0.352613983997767,0.935768870121903,10.271,-1.076539846808306,0.008486781014882021,117.83030553592073,10.0,,10.0,36.0,6.557455648896332
69.41832376919938,89630.558008,43148.987578,0,0,0,-0.232369784246591,0.972627515223167,10.271,-1.0527557292349723,0.010476982592095856,95.4473285805046,10.0,,10.0,36.0,7.030463455450498
74.4145232461034,89633.093056,43144.485689,0,0,0,-0.0544057429275846,0.998518910755574,10.271,-0.9688162916195588,0.033876590919831945,29.518908864427164,10.0,,10.0,36.0,7.547120720284454
79.31750765443171,89636.256732,43140.663045,0,0,0,0.160678037791352,0.987006873416554,10.271,-0.7086521961467264,0.08035255393552113,12.445155144694587,10.0,,10.0,36.0,8.043320810809321
83.86982217894688,89640.247556,43138.199731,0,0,0,0.343524068701276,0.939143873015695,10.271,-0.19874278092760236,0.12714234481719083,7.865200232368144,10.0,,10.0,36.0,8.512304734431828
87.98470831571079,89644.707593,43138.657421,0,0,0,0.554015930697027,0.832506065163436,10.271,0.4561070106736453,0.16633479680213548,6.011971152311298,10.0,,10.0,36.0,8.960650696579874
91.66969417970165,89647.356846,43141.344929,0,0,0,0.699455895980281,0.71467576534987,10.271,1.1885045367111844,0.18585545272764262,5.380525485391197,10.0,,10.0,36.0,9.338026380852549
95.11731155305968,89647.473726,43145.050667,0,0,0,0.85527889086111,0.518167944635125,10.271,1.8407316442157249,0.13729822263024924,7.283415479405355,10.0,,10.0,36.0,9.708784456409582
98.49737782176787,89645.578175,43147.933539,0,0,0,0.855457772814887,0.517872570166246,10.271,2.197376553602545,0.05857518233592935,17.072076605156575,10.0,,10.0,36.0,10.053807130475102
101.86713607693126,89643.548226,43150.475062,0,0,0,0.882001167353983,0.471247218332598,10.271,2.239645879112137,0.0023301230981466565,429.1618759521265,10.0,,10.0,36.0,10.37907674329104
