s_m,x,y,z,x_quat,y_quat,z_quat,w_quat,speed,heading_rad,curvature_1pm,turn_radius_m,v_limit_mps,v_kappa_mps,v_ref_mps,v_ref_kmh,t_ref_s
0.0,89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5,-2.0870269974062188,0.004573736749196742,218.63960582681634,10.0,23.379457105909044,9.829870307818245,35.38753310814568,0.0
3.1388882484319405,89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5,-2.0720789805704936,-0.0014936464801614691,669.5024647946789,10.0,40.91156513733858,8.97475318323165,32.30911145963394,0.3420468498346379
6.0668241175653,89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.4821555344568223,1.5,-2.0950332639893614,-0.008779704780648493,113.8990461506312,10.0,16.87446637309097,8.124383780684182,29.247781610463058,0.682194610853625
8.990437953766717,89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5,-2.1187938192751745,-0.03769745535607516,26.526989436140926,10.0,8.143554112938178,7.251474449804744,26.105308019297077,1.0313583432054
12.147282107807731,89663.70332410357,43122.66635452582,0.0,0.0,0.0,-0.9657707506138884,0.2593971034122904,1.5,-2.3397890930647014,-0.07048048172093892,14.188325272227983,10.0,5.955737836789826,5.955737836789826,21.440656212443375,1.5496529884113672
15.508388704254221,89660.83079425011,43121.00331092646,0.0,0.0,0.0,-0.958760558299818,0.2842150450778798,1.5,-2.592558922542631,-0.043847588169117116,22.806271490761798,10.0,7.550872712932227,6.740062105938625,24.26422358137905,2.0725358345105667
19.22935604448129,89657.80707861489,43119.037895763584,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5,-2.6130166924027822,-0.04219235206796149,23.700977807287117,10.0,7.697560946054133,6.630185837187934,23.868669013876563,2.611993809419337
23.050821271177384,89653.95184118,43116.99688770982,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.5,-2.9693588500806287,-0.11287451244853773,8.859395963778134,10.0,4.7062182173636335,4.7062182173636335,16.942385582509083,3.381580857349057
26.670695462139015,89650.61527763396,43117.64606331011,0.0,0.0,0.0,0.9868796805156108,0.1614574129156232,2.0,2.8762621397127677,-0.0654826614696209,15.271218022558932,10.0,6.178838487644529,5.687343855440871,20.474437879587136,4.035664616067216
30.09500336056488,89647.04114078643,43118.84771276746,0.0,0.0,0.0,0.9828388597749672,0.1844661912553153,8.333333333333334,2.794122597204648,-0.014853027553143449,67.32634113967984,10.0,12.973659963526083,6.607425706143038,23.78673254211494,4.649052516535327
33.060597565961196,89644.45593458207,43119.85356517503,0.0,0.0,0.0,0.9828388597749282,0.1844661912555224,8.333333333333334,2.770535243282351,-0.008374419041041463,119.4112684234198,10.0,17.277967793075362,7.20971911299507,25.954988806782254,5.0505814544366805
35.949761919277066,89642.08375731178,43120.77653225382,0.0,0.0,0.0,0.980114677324084,0.1984319008977814,8.333333333333334,2.7544652019027085,-0.01407750854996612,71.03529693842073,10.0,13.32622385922028,7.721157205186987,27.796165938673155,5.391540182564626
39.00502359362272,89638.68207722215,43122.21279718054,0.0,0.0,0.0,0.9622001654295768,0.272343242338221,8.333333333333334,2.675846932073433,-0.025159695301185166,39.74610932402247,10.0,9.968213145296211,7.9616497367342625,28.661939052243344,5.862433333079759
41.75524875574921,89636.71666205926,43123.42228343462,0.0,0.0,0.0,0.9656057545943876,0.2600106280408611,8.333333333333334,2.6048619949078717,-0.03463538065226739,28.872210472863255,10.0,8.495912321943896,7.200632786322206,25.922278030759944,6.166840113244581
44.27444277728961,89634.37328244197,43124.78295547046,0.0,0.0,0.0,0.9225056094289747,0.3859836791524684,8.333333333333334,2.505974445088598,-0.0652737086890717,15.320103914478857,10.0,6.188720367426302,6.188720367426302,22.279393322734688,6.571605080802943
47.106031119025424,89632.69193766383,43126.48851578403,0.0,0.0,0.0,0.8807548517288327,0.473572477194486,8.333333333333334,2.2502853454952505,-0.06671113424503639,14.990001464027042,10.0,6.121683074128193,6.121683074128193,22.038059066861496,6.960701145880066
50.657040308655816,89630.54143781093,43129.74162241264,0.0,0.0,0.0,0.8807548517287003,0.4735724771947322,8.333333333333334,2.1549075947282073,-0.009452548652503598,105.7915739725011,10.0,16.262808334701997,7.012416508631362,25.244699431072902,7.554523435548845
54.39658922828497,89628.3148229,43133.1098699,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,8.333333333333334,2.1695841836912275,0.003999891154028039,250.00680305836894,10.0,25.000340150604398,7.828604098122339,28.182974753240423,8.098648495209497
57.64374848208393,89626.5962446,43135.5491846,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,8.333333333333334,2.181967185249366,0.0015674365893524759,637.9843413079378,10.0,39.93696099191631,8.380858941765498,30.171092190355793,8.466818390971603
60.62766994154675,89624.8893618,43137.9966586,0.0,0.0,0.0,0.8866177348157583,0.4625029646501454,8.333333333333334,2.1798697291320175,-0.0005379555311516519,1858.8897075920127,10.0,68.17055279943116,8.898901938669866,32.03604697921152,8.812180388907848
63.61174116137019,89623.1819638,43140.4439264,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,8.333333333333334,2.1786753760816624,-0.00048123587565354273,2077.9830652524593,10.0,72.07605471396965,9.388423281555383,33.79832381359938,9.138527950831525
